Keyword,Assigned Category
Decaf Instant Coffee,Coffee
Tikka Masala Sauce,Gravies
Korma Simmer Sauce,"Pasta sauces, tomato-based"
Breakfast Sausage Links,Sausages
Ground Italian Sausage,Sausages
Sausage Roll,Sausages
Pork Sausage Patties,Sausages
Maple Syrup Pork Sausage Patties,Sausages
Pretzel Sticks,Pretzels/snack mix
Nut and Seed Bars,Nutrition bars
Cheese Puff Chips,"Tortilla, corn, other chips"
Puff Snack,Pretzels/snack mix
Peanut Butter Sandwich Cookies,Cookies and brownies
Mango Habanero Salsa,Dips
Korean BBQ Snack Nuts,Nuts and seeds
Flavored Snack Nuts,Nuts and seeds
Walnut Halves & Pieces,Nuts and seeds
Habanero BBQ Almonds,Nuts and seeds
Pub Mix,Pretzels/snack mix
Cashew Halves & Pieces,Nuts and seeds
Cheddar Snack Chips,"Tortilla, corn, other chips"
Spanish Peanuts,Nuts and seeds
No Shell Pistachios,Nuts and seeds
Mixed Nuts,Nuts and seeds
Toasted Coconut Cashews,Nuts and seeds
Blueberry Almonds,Nuts and seeds
Omega-3 Mix,Nuts and seeds
Iodized Salt,Seasonings
Dry Roasted Peanuts,Nuts and seeds
Honey Roasted Peanuts,Nuts and seeds
White Vinegar,Salad dressings
Flamin' Hot Cheese Puff Chips,"Tortilla, corn, other chips"
Dry Roasted Almonds,Nuts and seeds
Roasted Pistachios,Nuts and seeds
Baked Cheese Snack Chips,"Tortilla, corn, other chips"
Almond Flour,Nuts and seeds
Red Wine Vinegar,Salad dressings
Black Pepper & Iodized Salt,Saltine crackers
Lucky Charms Cereal,"Ready-to-eat cereal, higher sugar (>21.2g/100g)"
Cinnamon Seasoning,Seasonings
White Wine Vinegar,Salad dressings
Boiled Peanuts,"Beans, peas, legumes"
Cheetos Bolitas,"Tortilla, corn, other chips"
Iodized Sea Salt,Saltine crackers
Pecan Halves,Nuts and seeds
Balsamic Vinegar,Salad dressings
Flamin' Hot Onion Rings,"Tortilla, corn, other chips"
Lite Salt,Saltine crackers
Cajun Trail Mix,Pretzels/snack mix
Pink Salt,Saltine crackers
Pistachios,Nuts and seeds
Flamin' Hot Cheese Snack Chips,"Tortilla, corn, other chips"
Flamin' Hot Cheese Snacks,"Tortilla, corn, other chips"
Pumpkin Seeds,Nuts and seeds
Sun-Dried Raisins,Dried fruits
Salted Caramel Munch Mix,Pretzels/snack mix
Flamin' Hot Snack Chips,"Tortilla, corn, other chips"
Gravy Mix,Gravies
Chopped Walnuts,Nuts and seeds
Honey Roasted Pecans,Nuts and seeds
Flamin Hot Cheese Snacks,Potato chips
Roasted Sunflower Kernels,Nuts and seeds
Protein Puff,Nutrition bars
Black Pepper,Spices
Flamin' Hot Limon Chips,"Tortilla, corn, other chips"
Sourdough Pretzels,Pretzels/snack mix
Salted Peanuts,Nuts and seeds
Honey Roasted Cashews,Nuts and seeds
Cashew Snack Mix,Nuts and seeds
Pitted Dates,Dried fruits
BBQ Sauce,Other sauces
Hunter Mix,Nuts and seeds
Barbecue Sauce,Other sauces
Maple Pecans Glazed Mix,Nutritional beverages
Steak Dipping Sauce,Gravies
Balsamic Reduction,Salad dressings
Tomato Ketchup,Tomato-based condiments
Brazil Nuts,Nuts and seeds
In Shell Peanuts,Nuts and seeds
Balsamic Vinegar Glaze,Tomato-based condiments
Sesame Oil,Vegetable oils
Apple Cider Vinegar Powder Sticks,Other diet drinks
Ranch Salad Dressing,Salad dressings
Ranch Dressing,Salad dressings
Bacon Pieces,Bacon
Thousand Island Dressing,Salad dressings
Mayonnaise,Mayonnaise
Italian Dressing,Salad dressings
Garlic & Butter Croutons,Other Mexican mixed dishes
Salad Toppings,Other sauces
French Style Salad Dressing,Salad dressings
Mayo-like Dressing,Salad dressings
Caesar Salad Dressing,Salad dressings
Catalina Salad Dressing,Salad dressings
Italian Salad Dressing,Salad dressings
Sweet Pickles,Pickles
Blue Cheese Dressing,Salad dressings
Vegenaise Spread,Mayonnaise
Dill Pickles,Pickles
Honey Mustard Dressing,Salad dressings
Dill Pickle Chips,Pickles
Peppered Gravy Mix,Gravies
Dill Pickle Spears,Pickles
Whipped Dressing,Salad dressings
Chicken Gravy,Gravies
Bread & Butter Pickle Chips,Pickles
Light Mayonnaise,Mayonnaise
Baby Dill Pickles,Pickles
Vidalia Onion Salad Dressing,Salad dressings
Dill Pickle Slices,Pickles
Pitted Black Olives,Olives
Honey Mustard,Mustard and other condiments
Reduced Fat Mayonnaise,Mayonnaise
Kosher Dill Pickles,Pickles
Dried Cranberries & Honey Roasted Almonds,Dried fruits
Bread & Butter Pickles,Pickles
Stuffed Olives,Olives
Ranch Yogurt Dressing,Salad dressings
Sweet Gherkins,Pickles
Mini Kosher Dill Pickles,Pickles
Pickled Beets,Pickled vegetables
Sandwich Spread,Mustard and other condiments
Light Mayo-like Dressing,Salad dressings
Mayonnaise Dressing,Salad dressings
Sliced Black Olives,Olives
Bread and Butter Pickles,Pickles
Chipotle Aioli,Other sauces
Sriracha Mayonnaise,Salad dressings
Dill Pickle Halves,Pickles
Strawberry Spread,Toppings
Bread and Butter Pickle Chips,Pickles
Kosher Dill Gherkins Pickles,Pickles
Pepper Jack Cheese,Cheese
Chicken Breast Tenderloins,"Chicken patties, nuggets and tenders"
Thin-Sliced Chicken Breasts,"Chicken patties, nuggets and tenders"
American Cheese Slices,Cheese
Sour Cream,Sour cream
Garlic Spread,Dips
Peanut Chocolate Candy,Candy containing chocolate
Eggnog,Other dairy drinks
Crescent Rolls,Rolls and buns
Ultra Pasteurized Whole Milk,"Milk, whole"
French Bread,Yeast breads
Lactaid Whole Milk,"Milk, whole"
Chocolate Drink,Other dairy drinks
Lactose-Free Whole Milk,Milk substitutes
Omega-3 Milk,"Milk, whole"
2% DHA Omega-3 Milk,"Milk, reduced fat"
Organic 1% Milk,"Milk, lowfat"
Lactose-Free Skim Milk,Milk substitutes
Lactaid 2% Milk,"Milk, reduced fat"
Grassfed Milk,"Milk, whole"
Cinnamon Candy,Candy not containing chocolate
Chocolate Caramel Kazbars,Candy containing chocolate
Unsweetened Almond Milk,Milk substitutes
Microwaveable Rice Cups,Rice mixed dishes
Pork Sausage,Sausages
Candy Bag,Candy not containing chocolate
Sweet Peas,"Beans, peas, legumes"
Gluten Free Snack Chips,"Tortilla, corn, other chips"
Reese's Fast Break,Candy containing chocolate
Cherry Punch Candy,Candy not containing chocolate
Gatorade G Zero Sugar,Sport and energy drinks
Grape Soft Drink Mix,Fruit drinks
Sugar Free Energy Drink,Diet sport and energy drinks
Grape Juice,Other fruit juice
Fruit Punch Juice Drink,Fruit drinks
Mandarin Orange Water Beverage,Flavored or carbonated water
Strawberry Kiwi Juice Drink,Fruit drinks
Energizing Juice,Sport and energy drinks
Strawberry Sparkling Water,Flavored or carbonated water
Grape Drink Mix,Other fruit juice
Spiced Apple Cider,Other fruit juice
Polar Blast Juice Drink,Fruit drinks
Nutritional Powder Drink Mix,Protein and nutritional powders
Spiced Cider Mix,Other fruit juice
Kids Drinks Variety Pack,Fruit drinks
Red Bull Energy Drink,Sport and energy drinks
Green Berry Rush Juice Drink,Fruit drinks
Chai Latte Iced Tea Concentrate,Tea
Orange Juice,Citrus juice
Hot Cocoa,Other dairy drinks
Red Bull Blue Edition,Sport and energy drinks
Lemonade Juice,Citrus juice
Zero Sugar Energy Drink,Diet sport and energy drinks
Raspberry Lemonade Juice,Other fruit juice
Loca Moca,Coffee
Cranberry Black Cherry Juice Cocktail,Other fruit juice
Electrolyte Enhanced Water,Enhanced water
Sparkling Mineral Water,Flavored or carbonated water
Strawberry Lemonade Juice,Other fruit juice
Kids Drink,Fruit drinks
Kombucha Tea,Tea
Caribbean Sunset Juice Drink,Fruit drinks
Tangerine Sparkling Water,Flavored or carbonated water
Cran-Grape Juice Drink,Other fruit juice
Iced Tea Bags,Tea
Grapefruit Drink,Fruit drinks
Black Iced Tea,Tea
Watermelon Sparkling Water,Flavored or carbonated water
Unsweetened Black Tea,Tea
Decaffeinated Iced Tea,Tea
Raspberry Sparkling Water,Flavored or carbonated water
Sparkling Soda Water,Flavored or carbonated water
Electrolyte Water Beverage,Enhanced water
Great Value Hydrate,Enhanced water
Decaffeinated Black Tea,Tea
Caramel Coffee Pods,Coffee
Pumpkin Spice Coffee,Coffee
Iced Latte,Coffee
Peaches and Creme Parfait,Other fruits and fruit salads
Dried Fruit Snack,Dried fruits
Honey Butter Almonds,Nuts and seeds
Peppermint Coffee,Coffee
Honey Roasted Almonds,Nuts and seeds
Roasted Almonds,Nuts and seeds
Sliced Almonds,Nuts and seeds
Almonds,Nuts and seeds
Cashews,Nuts and seeds
Chopped Pecans,Nuts and seeds
Lightly Salted Almonds,Nuts and seeds
Nut Mix,Nuts and seeds
Cereal Snacks,"Ready-to-eat cereal, lower sugar (=<21.2g/100g)"
Chicken Gravy Mix,Gravies
Marinade Mix,Other sauces
BBQ Rub,Other sauces
Sausage Gravy Mix,Gravies
Fried Onions,Other sauces
Popcorn Seasoning,Other sauces
Raspberry Vinaigrette Dressing,Salad dressings
Spaghetti Sauce Mix,"Pasta sauces, tomato-based"
Pork Roast Seasoning,Seasonings
Gravy Seasoning Mix,Gravies
Raspberry Walnut Vinaigrette,Salad dressings
Poppy Seed Dressing,Salad dressings
Blush Wine Vinaigrette,Salad dressings
Bacon Bits,Bacon
Salad Olives,Olives
Jalapeño Peppers,Other vegetables and combinations
Pickle Chips,Pickles
Pickles,Pickles
Pickled Jalapeno Slices,Pickled vegetables
Pickled Peppers,Pickled vegetables
Sliced Olives,Olives
Okra Pickles,Pickled vegetables
Sweet Pickle Relish,Pickles
Pimiento Stuffed Olives,Olives
Pickle Spears,Pickles
Pickled Jalapeno Peppers,Pickled vegetables
Chopped Black Olives,Olives
Kalamata Olives,Olives
Black Olives,Olives
Zero Sugar Root Beer,Diet soft drinks
Black Forest Ham,Cured meats
Boneless Skinless Chicken Breasts,"Chicken, whole pieces"
Grated Parmesan Cheese,Cheese
Chunk Light Tuna,Fish
Black Beans,"Beans, peas, legumes"
Sharp Cheddar Cheese,Cheese
Soymilk,Milk substitutes
Nonfat High Vitamin D Milk,"Milk, nonfat"
Lactaid Milk,"Milk, reduced fat"
Plant-Based Milk,Milk substitutes
1% UHT Chocolate Milk,"Flavored milk, lowfat"
2% Grassfed Milk,"Milk, reduced fat"
1% UHT Milk,"Milk, lowfat"
Jelly Beans Candy,Candy not containing chocolate
Jelly Beans,Candy not containing chocolate
Berry Fish Candy,Candy not containing chocolate
Hi-Chew,Candy not containing chocolate
Sour Strips,Candy not containing chocolate
Protein Candy Bites,Protein and nutritional powders
Sour Gummies,Candy not containing chocolate
Gummi Bears,Candy not containing chocolate
Sugar Free Chocolate Caramels,Candy not containing chocolate
Caramel Bits,Candy not containing chocolate
Ginger Candy,Candy not containing chocolate
Metabolism Gummy Rings,Nutrition bars
Pizza Lunchables,Pizza
Mango Sparkling Water,Flavored or carbonated water
Cherry Sparkling Water,Flavored or carbonated water
Hint Water Variety Pack,Flavored or carbonated water
Caffeinated Sparkling Water,Flavored or carbonated water
Protein Infused Water,Nutritional beverages
Premium Water,Bottled water
SportWater,Enhanced water
Drinking Water,Bottled water
Decaffeinated Black Iced Tea,Tea
Tropical Vibe,Sport and energy drinks
Root Beer,Soft drinks
Milk Variety Pack,Other dairy drinks
Juice Box Pouches,Fruit drinks
Apple Juice,Apple juice
Evaporated Goat Milk,Milk substitutes
Lactose-Free Evaporated Milk,Milk substitutes
Peach Fruit Juice,Other fruit juice
Powdered Goat Milk,Milk substitutes
Lemon Berry Squeeze,Fruit drinks
Pineapple Mango Juice Drink,Other fruit juice
Shelled Pistachios,Nuts and seeds
Wholesome Medley,Nuts and seeds
Dried Mango,Dried fruits
Cocktail Peanuts,Nuts and seeds
Dried Berries & Golden Raisins,Dried fruits
Whole Almonds,Nuts and seeds
Sunflower Kernels,Nuts and seeds
Pine Nuts,Nuts and seeds
Chili Seasoning Mix,Other sauces
Probiotic Trail Mix,Nutritional beverages
Water Chestnuts,Other vegetables and combinations
Chicken Bouillon,Soups
Salt'n Vinegar Almonds,Nuts and seeds
Ground Cumin,Spices
Sweet and Spicy Peanuts,Nuts and seeds
Dill Pickle Cashews,Nuts and seeds
Fish Fry Breading,Fish
Turkey Gravy Mix,Gravies
Cinnamon Roasted Almonds,Nuts and seeds
Swedish Meatball Seasoning & Sauce Mix,Meat mixed dishes
Ranch Seasoning Mix,Dips
Meat Loaf Seasoning Mix,Meat mixed dishes
Chicken Seasoning Mix,Other sauces
Beef Stew Seasoning Mix,Meat mixed dishes
Mesquite Marinade Mix,Other sauces
Mojito Lime Marinade Mix,Other sauces
Enchilada Sauce Mix,"Pasta sauces, tomato-based"
Hot Okra Pickles,Pickles
Balsamic Vinaigrette,Salad dressings
Garlic Stuffed Olives,Olives
Pickled Ginger,Pickled vegetables
Jalapeño Stuffed Olives,Olives
Ranch Dip,Dips
Green Olives,Olives
Spicy Dill Pickle Almonds,Nuts and seeds
Pork Bacon,Bacon
Maple Breakfast Sausage Links,Sausages
Raw Shrimp,Shellfish
Sliced Cheddar Cheese,Cheese
Tortilla Chips,"Tortilla, corn, other chips"
Burger Patties,Burgers
Colby-Jack Cheese,Cheese
Corn Snacks,"Tortilla, corn, other chips"
Chicken Breast Tenderloin,"Chicken patties, nuggets and tenders"
Bell Peppers,Other red and orange vegetables
Bacon,Bacon
Oven Roasted Turkey Breast,Cold cuts
Coco5 Orange Hydration,Nutritional beverages
Coco5 Limon,Nutritional beverages
Blackberry Sparkling Water,Flavored or carbonated water
Corn Chips,"Tortilla, corn, other chips"
Light Brown Sugar,Sugars and honey
Flavored Water,Flavored or carbonated water
Potato Chips,Potato chips
Pinto Beans,"Beans, peas, legumes"
Coconut Milk,Milk substitutes
Balanced Water,Enhanced water
Multi-Seed Crackers,"Crackers, excludes saltines"
Vanilla Coconut Milk,Milk substitutes
Mild Cheddar Cheese,Cheese
Mountain Water,Bottled water
Plant-Based Juice Drink,Nutritional beverages
Fruit Punch Juice Box,Fruit drinks
White Grape Peach Juice,Other fruit juice
Limeade Juice,Citrus juice
Pineapple Juice,Other fruit juice
Cranberry Pomegranate Juice Drink,Other fruit juice
Cranberry Juice,Other fruit juice
Light Apple Juice,Other fruit juice
Island Punch Juice Drink,Fruit drinks
Tomato Juice,Vegetable juice
Pineapple Orange Juice,Other fruit juice
Vitamin D and Zinc Shot,Nutrition bars
Superfood & Protein Powder,Protein and nutritional powders
Breakfast Drink Mix,Protein and nutritional powders
Mandarin Oranges Fruit Cup Snacks,Other fruits and fruit salads
Cashew Halves and Pieces,Nuts and seeds
Smokehouse Almonds,Nuts and seeds
Cinnamon & Brown Sugar Cashews,Nuts and seeds
Flax Seed,Nuts and seeds
Cocoa Roasted Almonds,Nuts and seeds
Nut Packs,Nuts and seeds
Freeze Dried Fruit Crisps,Dried fruits
Dried Mango Strips,Dried fruits
Macadamia Nuts,Nuts and seeds
Wasabi & Soy Sauce Almonds,Nuts and seeds
Roasted Pecans,Nuts and seeds
Roasted Cashews,Nuts and seeds
Cocoa Almonds,Nuts and seeds
Walnuts,Nuts and seeds
Cashew Halves,Nuts and seeds
Smoked Almonds,Nuts and seeds
Turmeric Trail Mix,Nutritional beverages
Corn Kernels Snack,"Tortilla, corn, other chips"
Crispy Red Peppers,Salad dressings
Italian Dressing Mix,Salad dressings
Fruit & Nut Topping,Other fruits and fruit salads
Honey Roasted Pecan Pieces,Nuts and seeds
Spicy Ranch,Salad dressings
Ranch Dipping Sauce,Salad dressings
Buffalo Ranch Dipping Sauce,Dips
Fiesta Blend Cheese,Cheese
Cream Cheese,Cream cheese
Brownie Mix,Cakes and pies
Zero Sugar Ginger Ale,Diet soft drinks
Frozen Shrimp,Shellfish
Granola,"Ready-to-eat cereal, lower sugar (=<21.2g/100g)"
Bone Broth,Soups
New York Strip Steak,"Beef, excludes ground"
Baby Oatmeal,Baby food: cereals
Organic Eggs,Eggs
Spanish Style Rice,Rice mixed dishes
Quinoa and Rice Blend,Rice mixed dishes
White Corn Tortillas,Tortillas
Whipped Topping,Cream and cream substitutes
White Cheddar Popcorn,Popcorn
Vanilla Almondmilk,Milk substitutes
Gummies Candy,Candy not containing chocolate
Lemonade Candy,Candy not containing chocolate
Hi-Chew Candy,Candy not containing chocolate
Weight Loss Drink Mix,Nutrition bars
Gingerbread Coffee Pods,Coffee
Sunflower Seeds,Nuts and seeds
Pistachio Nut Mix,Nuts and seeds
Guacamole Mix,Dips
Roasted Salted Almonds,Nuts and seeds
Crab Boil,Other sauces
Alfredo Sauce Mix,Other sauces
Ground Allspice,Spices
Sweet Chili Flavored Nuts,Nuts and seeds
Salt 'n Vinegar Almonds,Nuts and seeds
Protein Trail Mix,Nutrition bars
Alfredo Seasoning Mix,"Pasta sauces, tomato-based"
Keto Trail Mix,Nutritional beverages
Salted Cashews,Nuts and seeds
Wasabi Soy Almonds,Nuts and seeds
Liquid Aminos,Soy-based condiments
Bacon Crumbles,Bacon
Turkey Bacon,Bacon
Linguine,Pasta
American Cheese,Cheese
Cheese Hot Dogs,Frankfurters
Ground Cardamom,Spices
Organic Baby Food,Baby food: fruit
Crushed Tomatoes,"Pasta sauces, tomato-based"
Enchilada Rice & Beans Meal,Rice mixed dishes
Brioche Buns,Rolls and buns
Fruit Yogurt,"Yogurt, regular"
Sliced Mozzarella Cheese,Cheese
Vegetable Oil Spread,Margarine
Mozzarella Cheese,Cheese
Raw Honey,Syrups
Almond Milk,Milk substitutes
Lo-Carb Energy Drink,Diet sport and energy drinks
Fruit Juice Boxes,Fruit drinks
Fruit Juice Smoothie,Smoothies
Gatorade,Sport and energy drinks
Orange Juice Concentrate,Other fruit juice
In-Shell Pistachios,Nuts and seeds
BBQ Pistachios,Nuts and seeds
Caramel Cashew Protein Bars,Nutrition bars
Raw Peanuts,Nuts and seeds
Sea Salt & Vinegar Flavored Nuts,Nuts and seeds
Dill Pickle Peanuts,Nuts and seeds
Gluten-Free Gravy Mix,Gravies
Beef & Broccoli Seasoning Mix,Stir-fry
Slivered Almonds,Nuts and seeds
Guacamole Seasoning Mix,Dips
No Salt Pistachios,Nuts and seeds
Macadamias,Nuts and seeds
Sloppy Joes Seasoning Mix,Other sauces
Stir Fry Seasoning,Stir-fry
Beef and Bean Burritos,Burritos and tacos
Grass-Fed Ground Beef,"Beef, excludes ground"
Cheese and Kale Bake Bowl,"Pasta mixed dishes, excludes macaroni and cheese"
Blue Corn Tortilla Chips,"Tortilla, corn, other chips"
Whole Milk Yogurt,"Yogurt, regular"
Honey Ham Deli Lunch Meat,Cold cuts
Butternut Squash,Other vegetables and combinations
Deli Ham,Cold cuts
Sprouted Whole Grain English Muffins,Bagels and English muffins
Smoked Ham Lunchmeat,Cold cuts
Honey Ham Lunchmeat,Cold cuts
Honey Roasted Turkey Breast,Cold cuts
Lean Ground Beef,"Beef, excludes ground"
Smoked Turkey Breast,Deli and cured meat sandwiches
Non-Fat Greek Yogurt,"Yogurt, Greek"
Shredded Mozzarella Cheese,Cheese
Reduced Fat Cheese Blend,Cheese
Naked Juice,Fruit drinks
Pina Colada Juice,Fruit drinks
Pomegranate Juice,Other fruit juice
Mango Punch,Fruit drinks
Prune Juice,Other fruit juice
Sparkling Juice Cocktail,Fruit drinks
Cranberry Blueberry Acai Juice Drink,Other fruit juice
Fruit Smoothie,Smoothies
Hot Cheddar Peanuts,Nuts and seeds
Cheese Trail Mix,Nuts and seeds
Dry Roasted Pistachios,Nuts and seeds
Jalapeno Shelled Pistachios,Nuts and seeds
Maui Onion & Garlic Macadamias,Nuts and seeds
Hollandaise Sauce Mix,Other sauces
Health Seeds,Nuts and seeds
Pesto Pasta Sauce Mix,"Pasta sauces, tomato-based"
Black Walnuts,Nuts and seeds
Salad Seasoning,Other sauces
Churro Flavored Trail Mix,Pretzels/snack mix
Salted Pecan Halves,Nuts and seeds
Hemp Seeds,Nuts and seeds
Cracked Pepper Sunflower Seeds,Nuts and seeds
BBQ Seasoning,Other sauces
Flavored Peanuts,Nuts and seeds
Walnuts & Almonds with Dried Cherries,Nuts and seeds
Banana Pudding Peanuts,Nuts and seeds
Jambalaya,Rice mixed dishes
Chili Mix,Other sauces
Salmon Seasoning Mix,Seafood mixed dishes
Steak & Meat Seasoning,Seasonings
Salted Butter,Butter and animal fats
Dark Chocolate Baking Chips,Candy containing chocolate
Ground Flax Seed,Nuts and seeds
Medium Salsa,"Pasta sauces, tomato-based"
